# 微軟倉頡聯想詞詞表（多字詞），自官方 ChtChangjie.lex 解出
# columns: text <TAB> weight
# 44572 phrases
主導	10628449
主峰	9786708
主帥	9446916
主席	10746338
主幹	10269380
主張	10709528
主從	9693110
主意	10343069
主戰	10003277
主持	10737343
主攻	9972132
主政	10453772
主教	10061148
主旨	10307342
主機	10495664
主權	10680377
主治	9904598
主流	10571662
主演	10509009
主祭	10228886
主筆	9518433
主管	10763939
主編	10113980
主義	10606367
主腦	9365838
主要	10699966
主見	9582406
主觀	10439140
主角	10534851
主計	10482018
主謀	10207579
主講	10583452
主軸	10088139
主辦	10670341
主題	10639196
主顧	8184305
主食	9741711
主體	10547370
乃弟	10517746
乃父	10763939
乃至	10096876
久久	10763939
久仰	9627404
久候	10604635
久別	10294468
久存	10048274
久留	10388066
久病	10540661
久經	10183764
久違	10469145
久遠	10662506
么兒	10763939
么喝	10343069
之上	10371315
之下	10635635
之中	10559638
之交	10003277
之內	10424148
之初	10249470
之前	10670341
之右	8915342
之外	10703170
之左	9336213
之後	10763939
之於	10096876
之時	10313444
之流	9757084
之秋	9582406
之至	9892574
之間	10734314
之際	10598824
之類	10177954
之餘	10517746
乍然	10628449
乍現	10763939
乏力	10763939
乏味	10343069
乒乓	10763939
乖乖	9582406
乖僻	10003277
乖巧	10763939
乖張	10670341
乖戾	10249470
乖舛	10424148
乖違	10559638
乘便	8976112
乘具	9817853
乘勢	10374214
乘坐	10763939
乘客	10484917
乘數	10533518
乘機	10696404
乘法	10064046
乘涼	10432084
乘積	9643176
乘空	9396982
乘興	10157645
乘船	10620407
乘虛	9953343
乘車	10731110
乘隙	10578515
乙卯	10207579
乙炔	10628449
乙烯	10763939
乙酸	9786708
九孔	10731110
九宮	10374214
九宵	9396982
九州	10578515
九族	10696404
九江	10064046
九泉	10533518
九洲	9817853
九霄	9643176
九龍	10763939
乞丐	10763939
乞兒	10249470
乞憐	10003277
乞求	10424148
乞討	10670341
乞靈	9582406
乞食	10559638
也似	9786708
也好	10628449
也罷	10207579
也許	10763939
乳化	10517746
乳品	10738098
乳房	10711107
乳母	9501328
乳汁	10436667
乳液	10682860
乳牛	10554556
乳狀	9811495
乳癌	10653236
乳白	10343069
乳糖	10096876
乳腺	10168392
乳膠	10478559
乳豬	10763939
乳酪	10589262
乳酸	10232366
乳頭	10622091
乳類	9922198
乳香	9676005
乳齒	9255134
乾冰	9612031
乾嘔	9365838
乾坤	10547370
乾媽	8944968
乾季	8524097
乾旱	10699966
乾材	9191161
乾杯	10589262
乾果	10207579
乾枯	10453772
乾洗	10628449
乾涸	10682860
乾淨	10748566
乾渴	10279095
乾燥	10716602
乾爹	10400940
乾爽	10343069
乾笑	9980070
乾等	10568678
乾粉	10372694
乾糧	10478559
乾股	10244389
乾脆	10763939
乾草	10126500
乾菜	10081503
乾薪	10427930
乾酪	9922198
乾隆	10732794
乾飯	9705630
乾餾	9858225
亂世	10717210
亂丟	10581720
亂事	10320153
亂來	10639590
亂倫	10407042
亂動	10550575
亂國	9604488
亂塗	10160849
亂子	10025359
亂寫	10446230
亂弄	9183618
亂性	10666581
亂數	10096876
亂流	10483040
亂真	10692423
亂花	10271552
亂行	9850682
亂說	10365151
亂闖	10517746
亂離	9429812
亂飛	10611344
亂髮	8762748
了了	10301177
了事	10722048
了債	9119644
了得	10453772
了悟	9540515
了斷	10575617
了案	9961385
了然	10207579
了當	10382256
了結	10677050
了解	10763939
了願	9786708
予以	10343069
事主	10254053
事事	10489500
事件	10658731
事例	10510806
事先	10690696
事兒	9800354
事功	10023632
事務	10721061
事勢	8887096
事宜	10735693
事實	10763939
事情	10706068
事態	10607388
事故	10642094
事業	10749980
事機	9922198
事權	10570578
事物	10589262
事理	10285198
事由	10395901
事略	9647758
事端	10531391
事變	10420688
事跡	10467418
事蹟	10444502
事項	10674924
事體	9728837
二來	10702138
二元	10608540
二副	10633326
二專	10657140
二心	9766799
二手	10723445
二極	10236270
二水	10555708
二者	10763939
二胡	10362346
二黃	9345928
于是	10763939
于歸	10343069
云云	10763939
互保	8834264
互信	10436667
互利	10622091
互助	10738098
互動	10763939
互市	9676005
互惠	10711107
互換	10517746
互毆	10653236
互生	9255134
互用	9501328
互異	10391670
互相	10554556
互補	10682860
互諒	10232366
互通	10478559
互選	10290236
五倫	9948040
五堵	10679078
五官	10580398
五專	10708702
五峰	10694070
五常	10543588
五彩	10562272
五戒	10316078
五指	10393697
五更	10041638
五權	10736948
五福	10722990
五穀	10083530
五經	9280976
五股	10763939
五臟	9996641
五色	10417512
五行	10194234
五輕	10663705
五金	10750594
五音	8439235
井架	10343069
井水	10763939
井然	10517746
井蛙	9676005
些兒	10589262
些少	10343069
些微	10763939
些許	9922198
亞伯	10528493
亞太	10718942
亞東	10670341
亞洲	10763939
亞瑟	9407730
亞當	10384960
亞盟	10138767
亞裔	10495664
亞軍	10695128
亞運	10741857
亞麻	9922198
亟待	10096876
亟欲	10517746
亟需	10763939
亡命	10407042
亡國	10517746
亡夫	10271552
亡故	10611344
亡者	9850682
亡魂	10692423
亢奮	10343069
亢旱	10763939
交上	10333032
交互	9912162
交付	10701070
交代	10689929
交保	10630932
交出	10592571
交到	9951349
交割	10522702
交加	9449400
交叉	10618413
交大	10269059
交差	9601995
交往	10667014
交待	10312448
交情	10460372
交惡	9665968
交戰	10409030
交手	10476565
交接	10655223
交換	10722758
